#===========================================================
#Electricity production in the European Union by source
#
#Source:
#[1] Yearly electricity data
#
#    EMBER
#    https://ember-energy.org/data/yearly-electricity-data/
#    (Accessed on 11 March 2025)
#
#Available under CC-BY-4.0
#https://ember-energy.org/creative-commons/
#https://creativecommons.org/licenses/by/4.0/deed.en
#
#Values are in TWh/Year
#===========================================================
Country,Year,Source,Value
Austria,2000,Bioenergy,1.53
Austria,2000,Coal,5.72
Austria,2000,Gas,7.85
Austria,2000,Hydro,41.84
Austria,2000,Nuclear,0.0
Austria,2000,Other Fossil,2.63
Austria,2000,Other Renewables,0.0
Austria,2000,Solar,0.0
Austria,2000,Wind,0.07
Austria,2001,Bioenergy,1.67
Austria,2001,Coal,6.89
Austria,2001,Gas,8.75
Austria,2001,Hydro,40.46
Austria,2001,Nuclear,0.0
Austria,2001,Other Fossil,3.1
Austria,2001,Other Renewables,0.0
Austria,2001,Solar,0.01
Austria,2001,Wind,0.1
Austria,2002,Bioenergy,1.52
Austria,2002,Coal,6.61
Austria,2002,Gas,9.31
Austria,2002,Hydro,40.23
Austria,2002,Nuclear,0.0
Austria,2002,Other Fossil,2.81
Austria,2002,Other Renewables,0.0
Austria,2002,Solar,0.01
Austria,2002,Wind,0.14
Austria,2003,Bioenergy,1.65
Austria,2003,Coal,8.44
Austria,2003,Gas,11.16
Austria,2003,Hydro,33.21
Austria,2003,Nuclear,0.0
Austria,2003,Other Fossil,3.13
Austria,2003,Other Renewables,0.0
Austria,2003,Solar,0.01
Austria,2003,Wind,0.37
Austria,2004,Bioenergy,1.91
Austria,2004,Coal,7.91
Austria,2004,Gas,10.95
Austria,2004,Hydro,36.76
Austria,2004,Nuclear,0.0
Austria,2004,Other Fossil,3.37
Austria,2004,Other Renewables,0.0
Austria,2004,Solar,0.02
Austria,2004,Wind,0.93
Austria,2005,Bioenergy,2.43
Austria,2005,Coal,7.17
Austria,2005,Gas,13.03
Austria,2005,Hydro,37.1
Austria,2005,Nuclear,0.0
Austria,2005,Other Fossil,3.29
Austria,2005,Other Renewables,0.0
Austria,2005,Solar,0.02
Austria,2005,Wind,1.33
Austria,2006,Bioenergy,3.23
Austria,2006,Coal,7.37
Austria,2006,Gas,10.67
Austria,2006,Hydro,35.66
Austria,2006,Nuclear,0.0
Austria,2006,Other Fossil,3.51
Austria,2006,Other Renewables,0.0
Austria,2006,Solar,0.02
Austria,2006,Wind,1.75
Austria,2007,Bioenergy,4.06
Austria,2007,Coal,6.6
Austria,2007,Gas,9.9
Austria,2007,Hydro,37.05
Austria,2007,Nuclear,0.0
Austria,2007,Other Fossil,3.16
Austria,2007,Other Renewables,0.0
Austria,2007,Solar,0.02
Austria,2007,Wind,2.04
Austria,2008,Bioenergy,4.16
Austria,2008,Coal,5.53
Austria,2008,Gas,11.18
Austria,2008,Hydro,38.33
Austria,2008,Nuclear,0.0
Austria,2008,Other Fossil,3.14
Austria,2008,Other Renewables,0.0
Austria,2008,Solar,0.03
Austria,2008,Wind,2.01
Austria,2009,Bioenergy,4.28
Austria,2009,Coal,3.76
Austria,2009,Gas,12.34
Austria,2009,Hydro,40.9
Austria,2009,Nuclear,0.0
Austria,2009,Other Fossil,2.93
Austria,2009,Other Renewables,0.0
Austria,2009,Solar,0.05
Austria,2009,Wind,1.95
Austria,2010,Bioenergy,4.48
Austria,2010,Coal,4.92
Austria,2010,Gas,14.35
Austria,2010,Hydro,38.36
Austria,2010,Nuclear,0.0
Austria,2010,Other Fossil,3.56
Austria,2010,Other Renewables,0.0
Austria,2010,Solar,0.09
Austria,2010,Wind,2.06
Austria,2011,Bioenergy,4.56
Austria,2011,Coal,5.43
Austria,2011,Gas,12.44
Austria,2011,Hydro,34.24
Austria,2011,Nuclear,0.0
Austria,2011,Other Fossil,3.42
Austria,2011,Other Renewables,0.0
Austria,2011,Solar,0.17
Austria,2011,Wind,1.94
Austria,2012,Bioenergy,4.68
Austria,2012,Coal,4.39
Austria,2012,Gas,9.71
Austria,2012,Hydro,43.85
