#=========================================================================================
#Italy GDP by region
#
#Source:
#[1] Conti economici territoriali - Anni 2021-2023
#
#    Istituto Nazionale di Statistica (ISTAT)
#    https://www.istat.it/comunicato-stampa/conti-economici-territoriali-anni-2021-2023/
#    (Accessed on 22 April 2025)
#
#Available under CC-BY-4.0
#https://creativecommons.org/licenses/by/4.0/deed.en
#
#Modifications made:
#1. Added record Trentino-Alto Adige as the average between Provincia Autonoma Bolzano and
#   Provincia Autonoma Trento
#2. Friuli-Venezia Giulia changed to Friuli Venezia Giulia
#
#Values are in thousands of EUR
#=========================================================================================
Region,2021,2022,2023
Piemonte,32.3,34.5,36.7
Valle d'Aosta,38.7,43.9,46.3
Lombardia,42.6,46,49.1
Provincia Autonoma Bolzano / Bozen,49.9,56,59.8
Provincia Autonoma Trento,39.5,43.9,46.4
Trentino-Alto Adige,44.7,49.95,53.1
Veneto,35,38,40.6
Friuli Venezia Giulia,33.8,35.7,37.7
Liguria,32.6,35.2,37.8
Emilia-Romagna,38.2,40.7,43.3
Toscana,32.5,35.6,37.7
Umbria,26.7,28.8,30.5
Marche,29,31.2,33.2
Lazio,35.7,39.8,41.8
Abruzzo,26.3,28.6,31
Molise,23.4,25,26.7
Campania,19.9,21.7,23.2
Puglia,20.2,22,23.5
Basilicata,23.9,25.9,27.5
Calabria,18.3,19.6,21
Sicilia,19.1,21.2,22.9
Sardegna,22.5,24.5,26.3
Italia,31.2,33.8,36.1
Nord-ovest,38.8,41.8,44.7
Nord-est,37,39.9,42.5
Centro,33.2,36.6,38.6
Centro-nord,36.6,39.7,42.2
Mezzogiorno,20.4,22.3,23.9
