#===============================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#US presidential election Nov. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#[1] Election results and voting information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Federal Election Commission - United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    (Accessed on 26 April 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Available under U.S. Public Domain license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#https://resources.data.gov/open-licenses/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#http://www.usa.gov/publicdomain/label/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#===============================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,ELECTORAL VOTES,ELECTORAL VOTE: TRUMP (R),ELECTORAL VOTE: HARRIS (D),AYYADURAI,BOWMAN,DE LA CRUZ,DUNCAN,EBKE,EVERYLOVE,FRUIT,GARRITY,HARRIS,HUBER,KENNEDY,KISHORE,OLIVER,PRESTON,SKOUSEN,SONSKI,STEIN,STODDEN,SUPREME,TERRY,TRUMP,WELLS,WEST,WOOD,NONE OF THESE CANDIDATES,WRITE-INS (SCATTERED),TOTAL VOTES
AL,9,9,,,,,,,,,,772412,,12075,,4930,,,,4319,,,,1462616,,,,,8738,2265090
AK,3,3,,,,,,,,,,140026,,5670,,3040,,,702,2342,,,812,184458,,1127,,,,338177
AZ,11,11,,77,,689,,,,,,1582860,,,,17898,,53,,18319,,,,1770242,,,,,23,3390161
AR,6,6,,,,,,,,,,396905,,13255,,5715,,,2141,4275,,,,759241,,,1144,,,1182676
CA,54,,54,,,72539,,,,,,9276179,,197645,,66662,,,2939,167814,,,,6081697,,,,,,15865475
CO,10,,10,15,,905,,,,,30,1728159,2196,35623,,21439,,,910,17344,,,3522,1377441,,5149,,,12,3192745
CT,7,,7,21,,264,,,,,,992053,,8448,,6729,,,162,14281,,,,736918,,128,,,6,1759010
DE,3,,3,4,,87,,,,,,289758,,4636,,2038,,,98,914,,914,,214351,,96,,,16,512912
DC,3,,3,,,,,,,,,294185,,2778,,,,,,,,,,21076,,,,,7830,325869
FL,30,30,,199,,11969,,,,,,4683038,,,,31972,,,7454,43155,,,5834,6110125,,,,,6,10893752
GA,16,16,,37,30,,,,,,,2548017,,,,20684,,,730,18229,,,,2663117,,,,,61,5250905
HI,4,,4,,,1940,,,,,,313044,,,,2733,,,936,4387,,,,193661,,,,,,516701
ID,4,4,,514,,1230,,,,,,274972,,12812,,4462,,1577,242,2973,,,1026,605246,,,,,3,905057
IL,19,,19,42,,2877,,,,,,3062863,,80426,12,3510,,,1391,31023,,,,2449079,,1569,,,518,5633310
IN,11,11,,,,832,,,,,,1163603,,29325,,20425,,,1347,,,,,1720347,,722,,,76,2936677
IA,6,6,,424,,1427,,,,,,707278,,13122,,7218,,,,,361,,,927019,,,,,6657,1663506
KS,6,6,,,,,,,,,,544853,,16322,,7614,,,,,,,,758802,,,,,,1327591
